"DeptCodeDW","Province","2010-11","2011-12","2010-11","2011-12","2012-13"
"CSEC","AB",0,0,0,0,0
"CSEC","SK",0,0,0,0,0
"CSEC","MB",0,0,0,0,0
"CSEC","NCR ON",0,1984,0,1984,2074
"CSEC","NCR QC",0,0,0,0,0
"CSEC","ON (minus NCR)",0,1,0,1,1
"CSEC","QC (minus NCR)",0,0,0,0,0
"CSEC","NB",0,0,0,0,0
"CSEC","NS",0,0,0,0,0
"CSEC","PE",0,0,0,0,0
"CSEC","NL",0,0,0,0,0
"CSEC","Abroad",0,0,0,0,0
"CTA","NU",0,0,0,0,0
"CTA","NT",0,0,0,0,0
"CTA","YT",0,0,0,0,0
"CTA","BC",1,1,1,1,1
"CTA","AB",1,1,1,1,1
"CTA","SK",0,0,0,0,0
"CTA","MB",1,1,1,1,1
"CTA","NCR ON",0,0,0,0,0
"CTA","NCR QC",251,244,251,244,238
"CTA","ON (minus NCR)",1,1,1,1,1
"CTA","QC (minus NCR)",1,1,1,1,1
"CTA","NB",1,1,1,1,1
"CTA","NS",0,0,0,0,0
"CTA","PE",0,0,0,0,0
"CTA","NL",0,0,0,0,0
"CTA","Abroad",0,0,0,0,0
"CTAIB","NU",0,0,0,0,0
"CTAIB","NT",0,0,0,0,0
"CTAIB","YT",0,0,0,0,0
"CTAIB","BC",14,14,14,14,13
"CTAIB","AB",9,10,9,10,6
"CTAIB","SK",0,0,0,0,0
"CTAIB","MB",10,10,10,10,10
"CTAIB","NCR ON",43,38,43,38,36
"CTAIB","NCR QC",107,115,107,115,110
"CTAIB","ON (minus NCR)",8,8,8,8,7
"CTAIB","QC (minus NCR)",10,12,10,12,10
"CTAIB","NB",0,0,0,0,0
"CTAIB","NS",10,9,10,9,10
"CTAIB","PE",0,0,0,0,0
"CTAIB","NL",0,0,0,0,0
"CTAIB","Abroad",0,0,0,0,0
"EA","NU",0,0,0,0,0
"EA","NT",0,0,0,0,0
"EA","YT",0,0,0,0,0
"EA","BC",185,205,185,205,217
"EA","AB",140,144,140,144,140
"EA","SK",42,38,42,38,35
"EA","MB",39,43,39,43,35
"EA","NCR ON",3451,3420,3451,3420,3229
"EA","NCR QC",1522,1585,1522,1585,1501
"EA","ON (minus NCR)",604,611,604,611,639
"EA","QC (minus NCR)",339,353,339,353,357
"EA","NB",21,22,21,22,18
"EA","NS",30,33,30,33,34
